RecordNo,Q43,Q46,Q17,Zip,Q37,Q56,Q8A,Q53,Q58,Q2,FIPS,Q8B
"4,139",2,2,3,23434,3,1,3,2,11,1,Suffolk,1
"4,151",2,2,2,23523,2,5,,2,,1,Chesapeake,
"4,157",2,2,3,23669,2,2,2,1,6,1,Hampton,1
"4,164",2,2,3,23321,2,3,,8,,1,Suffolk,
"4,170",1,2,4,23703,1,1,,2,6,1,Suffolk,
"4,179",1,2,1,23321,1,5,,1,,2,Portsmouth,
"4,180",1,2,1,23661,2,2,,1,5,1,Hampton,
"4,193",2,2,1,23434,1,1,4,1,11,1,Suffolk,2
"4,195",1,2,3,23454,2,2,,1,3,1,Virginia Beach,
"4,205",1,2,3,23456,1,2,,2,11,1,Virginia Beach,
"4,225",2,1,2,23451,2,3,,1,,1,Virginia Beach,
"4,232",2,2,2,23456,1,1,,2,4,1,Virginia Beach,
"4,235",1,2,4,23322,2,1,,1,11,1,Chesapeake,
"4,243",1,2,4,23503,1,1,,3,8,1,Virginia Beach,
"4,249",2,2,2,23321,1,5,,1,,1,Chesapeake,
"4,263",1,2,3,23320,2,1,,2,11,1,Chesapeake,
"4,287",2,2,2,23322,1,1,,1,9,1,Chesapeake,
"4,302",1,2,5,23669,1,4,,2,,2,Hampton,
"4,315",2,2,2,23320,3,1,3,1,9,1,Chesapeake,2
"4,328",1,2,4,23322,1,1,,1,10,1,Chesapeake,
"4,345",1,2,2,23455,1,5,,1,,1,Virginia Beach,
"4,350",2,2,2,23703,3,2,,2,4,1,Portsmouth,
"4,358",1,2,5,23323,2,1,1,2,6,1,Chesapeake,1
"4,387",1,2,3,23504,1,5,,1,,1,Norfolk,
"4,396",2,2,2,23456,1,2,1,1,11,1,Virginia Beach,1
"4,409",2,2,2,23464,2,1,1,2,5,1,Virginia Beach,2
"4,412",1,2,2,23435,1,5,,1,,1,Suffolk,
"4,427",1,2,88,23324,1,5,,1,,1,Chesapeake,
"4,436",1,2,3,23434,1,1,,1,11,2,Suffolk,
"4,456",2,2,1,23701,2,5,,2,,1,Chesapeake,
"4,462",1,2,3,23503,2,1,2,1,7,1,Norfolk,2
"4,482",1,2,1,23503,2,5,,1,,1,Norfolk,
"4,493",3,2,1,23601,4,2,,2,2,2,Newport News,
"4,496",2,2,2,23320,2,5,,2,,1,Chesapeake,
"4,503",1,2,3,23462,2,2,,1,5,1,Virginia Beach,
"4,509",1,2,1,23454,1,1,,1,11,1,Virginia Beach,
"4,518",1,2,2,23508,2,1,,1,9,1,Norfolk,
"4,532",2,2,4,23456,1,1,3,1,11,1,Virginia Beach,2
"4,544",1,2,3,23456,1,2,1,1,7,1,Virginia Beach,1
"4,581",2,2,3,23690,2,2,,2,2,1,Newport News,
"4,587",1,2,2,23321,1,1,1,1,9,1,Chesapeake,1
"4,590",2,2,3,23664,1,2,,1,7,1,Hampton,
"4,605",2,2,3,23323,1,2,,1,7,1,Portsmouth,
"4,639",4,2,2,23505,2,1,,2,2,1,Virginia Beach,
"4,646",2,2,2,23322,1,1,1,1,6,1,Chesapeake,1
"4,655",2,2,2,23451,2,5,,1,,1,Virginia Beach,
"4,658",1,2,3,23452,1,4,,1,,1,Virginia Beach,
"4,662",1,2,2,23323,1,5,,1,,1,Chesapeake,
"4,677",2,2,4,23511,1,1,,1,11,1,Virginia Beach,
"4,703",1,2,2,23452,1,5,,1,,1,Virginia Beach,
"4,704",1,2,3,23504,1,1,,2,7,1,Norfolk,
"4,705",2,2,3,23434,1,4,,1,,1,Suffolk,
"4,729",1,2,2,23455,2,5,,1,,1,Virginia Beach,
"4,731",2,2,2,23502,3,2,,2,,2,Norfolk,
"4,747",2,2,3,23452,2,4,1,1,,1,Virginia Beach,1
"4,757",2,2,3,23462,2,2,2,7,1,1,Virginia Beach,2
"4,800",2,2,2,23456,2,1,,1,7,1,Virginia Beach,
"4,802",1,2,3,23322,1,5,,1,,1,Chesapeake,
"4,816",1,2,1,23464,2,1,,1,11,1,Virginia Beach,
"4,817",1,2,3,23322,2,3,1,1,,1,Chesapeake,1
"4,866",1,2,2,23452,1,5,,1,,1,Virginia Beach,
"4,874",2,2,5,23320,1,1,,2,5,1,Chesapeake,
"4,881",2,2,2,23320,1,1,,1,9,1,Chesapeake,
"4,895",2,2,2,23452,1,5,1,1,,1,Virginia Beach,1
"4,905",2,2,1,23323,2,3,2,7,,1,Chesapeake,2
"4,912",2,2,1,23508,2,4,,7,,1,Virginia Beach,
"4,920",1,2,2,23664,1,1,1,2,3,1,Hampton,1
"4,942",2,2,3,23464,2,1,,1,9,1,Virginia Beach,
"4,962",1,2,3,23451,1,5,,1,,1,Virginia Beach,
"4,965",2,2,2,23454,1,1,1,1,6,1,Virginia Beach,1
"4,975",2,2,3,23434,2,1,,2,,1,Suffolk,
"4,992",3,2,2,23454,1,1,,1,11,1,Virginia Beach,
"4,994",3,2,3,23605,3,5,,1,,1,Newport News,
"5,003",1,2,1,23703,1,1,2,1,10,1,Portsmouth,2
"5,005",1,2,3,23434,1,1,,1,10,1,Suffolk,
"5,012",2,2,3,23434,2,5,,1,,2,Suffolk,
"5,048",1,2,4,23664,2,4,,2,,1,Hampton,
"5,068",1,2,3,23464,1,4,1,1,,1,Virginia Beach,1
"5,069",1,2,1,23434,2,1,,1,11,1,Suffolk,
"5,103",2,2,2,23321,2,1,2,8,,1,Portsmouth,2
"5,106",1,2,3,23320,2,5,,1,,1,Chesapeake,
"5,107",1,2,3,23666,2,2,,1,6,1,Hampton,
"5,112",1,2,2,23454,1,5,,1,,1,Virginia Beach,
"5,131",2,2,3,23462,1,2,2,1,,1,Virginia Beach,2
"5,132",2,2,3,23518,1,2,,1,5,1,Norfolk,
"5,150",1,2,3,23322,2,5,,1,,1,Chesapeake,
"5,168",1,2,3,23435,1,4,,1,,1,Suffolk,
"5,191",1,2,3,23323,1,1,,1,11,1,Portsmouth,
"5,244",2,2,2,23703,2,1,,2,5,1,Suffolk,
"5,268",2,2,4,23666,2,5,,1,,1,Hampton,
"5,278",2,2,2,23320,1,2,,1,5,1,Chesapeake,
"5,279",1,2,2,23666,1,2,,1,11,1,Hampton,
"5,293",1,2,4,23456,2,4,,1,,1,Virginia Beach,
"5,306",2,2,3,23602,2,5,,1,,1,Newport News,
"5,315",2,2,88,23601,1,5,,1,,1,Newport News,
"5,319",2,2,3,23602,1,1,,2,3,1,Newport News,
"5,328",1,2,1,23425,1,1,,2,11,1,Portsmouth,
"5,338",2,2,1,23464,4,2,,1,,2,Virginia Beach,
"5,350",1,2,88,23505,1,5,,1,,1,Norfolk,
"5,354",1,1,3,23502,2,5,,1,,1,Norfolk,
"5,365",3,2,4,23320,1,1,,2,11,1,Chesapeake,
"5,366",3,2,3,23507,2,5,,1,,1,Norfolk,
"5,394",2,2,3,23523,3,1,1,2,7,1,Virginia Beach,2
"5,398",3,2,2,23523,2,5,,2,,1,Chesapeake,
"5,412",1,2,5,23505,1,5,,2,,1,Norfolk,
"5,436",2,2,2,23434,2,2,,2,11,1,Suffolk,
"5,445",1,1,1,23323,1,1,,1,11,1,Chesapeake,
"5,451",2,2,3,23453,1,1,,1,7,1,Virginia Beach,
"5,459",1,2,2,23513,2,3,,2,,1,Norfolk,
"5,468",2,2,5,23503,3,1,,1,11,1,Norfolk,
"5,470",2,2,2,23452,3,1,,2,3,1,Virginia Beach,
"5,475",2,2,3,23505,2,4,2,1,,1,Virginia Beach,1
"5,478",2,2,2,23602,3,1,,2,2,1,Newport News,
"5,492",1,2,2,23454,1,1,,1,11,1,Virginia Beach,
"5,495",1,2,2,23503,1,3,1,,,1,Norfolk,1
"5,499",1,2,3,23434,2,5,,2,,2,Suffolk,
"5,501",2,2,3,23663,3,1,2,2,1,1,Hampton,2
"5,512",1,2,2,23669,1,1,,1,11,1,Suffolk,
"5,520",1,2,2,23322,2,2,1,1,3,1,Chesapeake,1
"5,523",1,2,2,23322,1,1,,1,11,1,Chesapeake,
"5,539",1,2,2,23666,2,5,,2,,1,Hampton,
"5,548",1,2,1,23608,1,5,,1,,1,Newport News,
"5,562",1,2,2,99999,1,5,,2,,1,Chesapeake,
"5,572",1,2,2,23324,2,1,1,2,4,1,Virginia Beach,2
"5,576",2,2,2,23669,2,5,,1,,2,Hampton,
"5,593",2,1,1,23507,2,1,1,1,,1,Norfolk,1
"5,602",2,2,3,23503,2,1,,1,8,1,Norfolk,
"5,612",2,2,1,23464,1,1,1,1,11,1,Virginia Beach,2
"5,618",1,2,3,23322,1,5,,1,,1,Chesapeake,
"5,624",1,2,3,23605,1,2,2,2,3,1,Hampton,2
"5,625",2,2,2,23321,2,5,,2,,1,Chesapeake,
"5,629",1,2,2,23507,2,2,1,1,11,1,Virginia Beach,1
"5,633",1,2,2,23320,2,1,,1,3,1,Chesapeake,
"5,646",2,2,1,23322,1,1,2,1,11,1,Chesapeake,2
"5,671",1,2,2,23601,1,5,,2,,1,Newport News,
"5,672",2,2,2,23606,1,5,,1,,1,Newport News,
"5,683",1,2,2,23664,1,2,,8,6,1,Hampton,
"5,690",1,2,3,23462,1,1,1,1,9,1,Virginia Beach,1
"5,696",4,2,3,23518,2,1,,5,3,1,Norfolk,
"5,698",1,2,3,23455,1,5,,1,,1,Virginia Beach,
"5,708",2,2,2,23663,3,4,4,8,,1,Hampton,3
"5,722",2,2,3,23505,2,2,,2,4,1,Virginia Beach,
"5,729",1,2,2,23322,1,5,,1,,1,Chesapeake,
"5,759",2,2,2,23601,1,5,,1,,1,Newport News,
"5,765",2,2,2,23322,1,1,,1,11,1,Chesapeake,
"5,781",1,2,2,23455,1,2,,1,,1,Virginia Beach,
"5,784",2,1,4,23608,2,1,1,2,8,1,Newport News,1
"5,793",1,2,3,23451,1,5,,1,,1,Virginia Beach,
"5,797",1,2,3,23455,1,5,,1,,1,Virginia Beach,
"5,805",1,2,1,23707,2,1,,1,3,1,Portsmouth,
"5,806",2,2,3,23452,1,5,,1,,1,Virginia Beach,
"5,829",1,2,2,23322,1,1,,1,11,1,Chesapeake,
"5,855",2,2,3,23452,1,1,,1,8,1,Virginia Beach,
"5,872",2,2,3,23434,2,5,3,3,,2,Suffolk,2
"5,881",1,2,1,23322,1,1,1,1,11,1,Chesapeake,1
"5,892",1,2,1,23455,1,5,,1,,1,Virginia Beach,
"5,924",1,2,5,23503,2,5,,1,,1,Norfolk,
"5,936",1,2,2,23692,2,2,,1,,1,Newport News,
"5,964",2,2,2,23321,3,1,1,2,2,1,Portsmouth,2
"5,966",1,2,2,23320,2,5,,1,,1,Virginia Beach,
"5,968",2,2,4,23602,2,5,1,2,,1,Newport News,2
"5,992",2,2,3,23455,1,1,,1,11,1,Virginia Beach,
"5,994",2,2,2,23503,2,5,,1,,1,Norfolk,
"6,005",2,2,2,23605,3,1,2,2,6,1,Newport News,1
"6,016",2,2,3,23322,1,5,,1,,1,Chesapeake,
"6,038",2,2,3,23606,1,1,1,1,,1,Newport News,1
"6,048",2,2,2,23434,4,3,2,4,,1,Suffolk,2
"6,064",1,2,3,23454,1,5,,1,,1,Virginia Beach,
"6,065",2,2,3,23453,2,1,,1,,1,Virginia Beach,
"6,067",1,2,1,23454,1,2,,1,11,1,Virginia Beach,
"6,069",2,1,2,23323,2,1,,1,7,1,Portsmouth,
"6,085",4,2,5,23663,1,1,,2,3,1,Hampton,
"6,116",2,2,3,23606,2,2,,1,4,1,Newport News,
"6,120",2,2,3,23434,1,1,1,1,11,1,Suffolk,1
"6,140",2,2,2,23505,2,1,2,2,7,1,Norfolk,1
"6,154",1,2,1,23322,1,5,,1,,1,Chesapeake,
"6,160",1,2,1,23513,1,2,,2,1,2,Virginia Beach,
"6,173",1,2,3,23456,2,1,1,2,10,1,Virginia Beach,1
"6,191",1,2,5,23608,2,4,,2,,2,Newport News,
"6,194",2,2,4,23513,2,5,,1,,1,Norfolk,
"6,199",2,2,2,23505,2,5,,1,,1,Norfolk,
"6,229",2,2,3,23455,1,1,2,8,11,1,Virginia Beach,1
"6,230",1,2,2,23435,1,5,,1,,2,Portsmouth,
"6,242",2,1,2,23502,2,4,,8,,2,Virginia Beach,
"6,261",1,2,4,23455,2,4,2,2,,1,Virginia Beach,2
"6,267",3,2,3,23505,0,1,,1,,2,Virginia Beach,
"6,273",3,2,88,23321,2,2,,5,6,1,Suffolk,
"6,275",4,1,2,23451,3,3,,1,,1,Virginia Beach,
"6,281",2,2,3,23464,2,1,1,5,8,1,Virginia Beach,2
"6,286",1,2,4,23702,1,5,,1,,1,Chesapeake,
"6,316",1,2,2,23435,0,1,,4,4,1,Suffolk,
"6,326",1,2,2,23454,1,5,,1,,2,Virginia Beach,
"6,327",2,2,2,23666,2,2,,1,7,2,Hampton,
"6,331",1,2,4,23707,2,2,,1,2,1,Portsmouth,
"6,342",2,2,4,23453,3,1,2,1,8,1,Virginia Beach,1
"6,363",2,2,3,23702,4,1,3,1,3,1,Portsmouth,2
"6,365",2,2,3,23464,3,1,2,1,11,1,Virginia Beach,2
"6,376",1,2,5,23607,1,5,,2,,1,Newport News,
"6,381",1,2,3,23456,1,5,,1,,1,Virginia Beach,
"6,383",1,2,2,23434,1,1,1,2,9,1,Suffolk,1
"6,390",1,2,3,23701,1,1,,1,10,1,Chesapeake,
"6,402",2,2,2,23322,1,5,,1,,1,Chesapeake,
"6,407",2,2,3,23703,2,1,,2,,1,Chesapeake,
"6,414",2,2,5,23509,3,1,,1,7,1,Norfolk,
"6,415",2,2,2,23503,2,1,,1,10,1,Norfolk,
"6,421",1,2,3,23661,2,5,,2,,1,Newport News,
"6,448",1,2,3,23703,1,5,,1,,1,Portsmouth,
"6,483",3,2,5,23666,1,1,,,10,1,Hampton,
"6,486",2,2,2,23455,1,1,1,7,7,1,Virginia Beach,1
"6,505",1,2,2,23325,1,1,,1,7,1,Virginia Beach,
"6,539",2,2,4,23454,2,1,,1,4,2,Virginia Beach,
"6,542",3,2,2,23321,3,1,,2,,1,Portsmouth,
"6,545",1,2,3,23464,1,5,,1,,1,Virginia Beach,
"6,554",1,2,2,23669,2,5,,1,,1,Hampton,
"6,559",4,2,1,23462,2,3,,1,,1,Virginia Beach,
"6,567",1,2,3,23518,2,1,,1,7,1,Virginia Beach,2
"6,577",2,2,1,23321,1,5,1,1,,1,Portsmouth,2
"6,587",1,2,2,23606,1,5,,1,,1,Newport News,
"6,588",1,2,3,23606,1,2,,1,7,1,Newport News,
"6,591",2,2,3,23322,1,2,1,1,2,1,Chesapeake,1
"6,596",1,2,2,23322,1,2,1,1,11,1,Chesapeake,1
"6,601",2,2,3,23664,1,5,,1,,1,Hampton,
"6,629",1,2,1,23320,1,2,,1,7,1,Portsmouth,
"6,645",1,1,3,23666,2,5,,2,,2,Hampton,
"6,664",1,2,1,23669,2,1,,1,8,1,Hampton,
"6,683",1,2,2,23451,1,5,,1,,1,Virginia Beach,
"6,689",2,2,1,23702,2,1,,,5,1,Portsmouth,
"6,707",1,2,3,23452,2,1,,,5,1,Virginia Beach,
"6,711",2,2,1,23703,1,1,1,1,11,1,Portsmouth,1
"6,713",1,2,1,23322,1,5,,1,,1,Chesapeake,
"6,733",2,2,3,23434,1,5,,1,,1,Suffolk,
"6,779",2,2,3,23456,2,1,2,1,6,1,Virginia Beach,1
"6,818",2,2,3,23704,2,5,,1,,1,Portsmouth,
"6,820",1,2,2,23323,2,4,,1,,2,Chesapeake,
"6,824",2,2,3,23602,1,5,,1,,1,Newport News,
"6,834",1,2,1,23454,1,1,,1,10,1,Virginia Beach,
"6,845",2,2,3,23322,1,4,,1,,1,Chesapeake,
"6,847",1,2,1,23464,2,2,,8,9,1,Virginia Beach,
"6,852",2,2,1,23322,2,1,1,1,11,1,Chesapeake,1
"6,853",1,2,3,23462,1,5,,2,,1,Virginia Beach,
"6,867",2,2,2,23323,1,3,1,2,,2,Chesapeake,1
"6,894",1,2,1,23324,2,5,,2,,1,Chesapeake,
"6,913",2,2,2,23504,2,1,,2,3,1,Norfolk,
"6,924",2,2,3,23452,1,1,,1,5,1,Virginia Beach,
"6,929",2,2,2,23456,2,1,,1,10,1,Virginia Beach,
"6,959",2,2,1,23666,3,3,,2,,2,Hampton,
"6,966",1,2,2,23704,1,1,1,2,2,1,Portsmouth,1
"6,990",4,2,3,23464,1,1,,1,5,2,Virginia Beach,
"7,015",1,2,2,23322,1,1,2,1,11,1,Chesapeake,1
"7,033",2,2,2,23608,3,5,,1,,2,Newport News,
"7,072",2,2,2,23434,1,4,2,3,,1,Suffolk,1
"7,094",2,2,3,23451,1,5,,1,,1,Virginia Beach,
"7,117",2,2,2,23505,2,1,,5,,1,Norfolk,
"7,125",1,2,3,23456,1,1,1,1,10,1,Virginia Beach,2
"7,129",1,2,2,23322,1,1,,3,6,1,Chesapeake,
"7,137",1,2,5,23513,3,5,,2,,1,Norfolk,
"7,181",2,2,3,23462,0,5,2,1,,1,Virginia Beach,2
"7,186",1,2,1,23455,2,1,2,3,4,2,Virginia Beach,1
"7,222",1,2,3,23455,2,5,,1,,1,Virginia Beach,
"7,250",1,2,3,23505,3,3,,2,,2,Norfolk,
"7,255",2,1,3,23608,1,5,1,2,,1,Newport News,1
"7,267",1,2,2,23605,2,1,,1,11,1,Newport News,
"7,271",1,2,4,23502,1,2,,2,7,1,Norfolk,
"10,023",3,2,2,23704,2,1,3,2,2,1,Norfolk,1
"10,065",2,2,4,23321,2,4,2,1,,2,Newport News,2
"10,071",1,2,1,23321,1,1,,1,11,1,Norfolk,
"10,077",2,2,2,23464,2,1,2,1,11,1,Newport News,2
"10,108",1,2,4,23434,1,1,,1,,1,Newport News,
"10,129",2,2,4,23434,2,1,,2,7,1,Norfolk,
"10,156",3,1,5,23456,1,1,,1,6,1,Norfolk,
"10,180",1,2,3,23464,2,4,,6,,1,Norfolk,
"10,226",3,2,2,23453,1,2,1,1,11,1,Newport News,1
"10,251",1,2,3,23606,2,1,,1,3,2,Newport News,
"10,276",2,2,3,23704,1,2,,8,3,1,Norfolk,
"10,297",1,2,1,23606,1,1,3,1,11,1,Norfolk,2
"10,342",2,2,3,23666,1,4,,1,,1,Norfolk,
"10,351",2,2,2,23321,1,2,,2,7,1,Norfolk,
"10,373",2,2,2,23669,1,5,,1,,1,Newport News,
"10,409",4,1,2,23669,2,4,3,5,,1,Norfolk,3
"10,412",2,2,5,23602,1,1,,2,6,1,Newport News,
"10,444",4,1,2,23704,3,1,4,2,10,2,Norfolk,3
"10,468",1,2,3,23464,1,5,,1,,1,Newport News,
"10,502",2,2,3,23322,1,3,,2,,1,Norfolk,
"10,509",4,2,2,23704,3,3,3,2,,1,Norfolk,2
"10,544",2,2,4,23703,1,2,2,2,,1,Newport News,2
"10,595",2,2,3,23434,1,,2,2,,1,Norfolk,2
"10,602",2,2,3,23452,2,2,,3,8,2,Newport News,
"10,606",1,2,3,23607,2,1,,2,7,1,Norfolk,
"10,616",3,2,3,23436,3,3,,1,,1,Newport News,
"10,639",2,2,3,23701,2,5,,8,,1,Newport News,
"10,668",2,2,2,23320,2,3,,2,,1,Norfolk,
"10,680",2,2,3,23324,2,1,2,1,4,1,Norfolk,1
"10,685",2,2,5,23523,4,3,1,2,,1,Norfolk,1
"10,698",2,2,1,23702,3,1,,8,6,1,Norfolk,
"10,717",1,2,2,23455,1,3,,3,,1,Chesapeake,1
"10,731",1,2,5,23504,1,1,,2,1,1,Norfolk,
"10,738",2,2,2,23513,1,1,,1,11,1,Newport News,
"10,769",1,2,3,23661,2,3,,1,,1,Norfolk,
"10,772",1,2,3,23322,1,2,,1,11,1,Newport News,
"10,776",2,2,2,23666,3,1,,7,3,1,Norfolk,
"10,781",2,2,3,23664,2,4,,2,,1,Newport News,
"10,809",2,2,2,23464,1,1,,2,,1,Newport News,
"10,811",2,2,88,23591,2,5,,2,,1,Norfolk,
"10,813",1,2,2,23454,2,1,2,1,7,1,Newport News,1
"10,822",2,2,2,23464,1,1,2,1,8,1,Norfolk,1
"10,836",4,1,2,23464,3,1,1,2,5,2,Norfolk,1
"10,840",2,2,2,23464,3,1,,1,8,1,Norfolk,
"10,845",1,2,1,23510,1,2,,8,11,1,Newport News,
"10,848",1,2,4,23503,2,1,,6,8,1,Newport News,
"10,869",2,2,1,23602,3,1,,1,8,1,Norfolk,
"10,881",2,2,3,23322,1,1,2,1,8,1,Newport News,1
"10,890",2,2,2,23462,2,1,,1,11,1,Norfolk,
"10,900",1,2,4,23464,2,4,2,1,,1,Norfolk,2
"10,958",1,2,2,23456,1,1,,1,11,1,Newport News,
"10,974",3,2,3,23607,2,1,2,2,6,1,Chesapeake,1
"10,975",2,2,3,23323,2,2,,1,11,1,Newport News,
"11,006",2,2,3,23608,2,2,,1,8,2,Newport News,
"11,015",2,2,2,23453,3,1,,1,5,2,Norfolk,
"11,039",3,2,3,23456,2,2,,1,8,1,Newport News,
"11,065",2,2,1,23606,1,1,,1,6,1,Norfolk,
"11,069",2,2,3,23707,2,1,,7,6,1,Norfolk,
"11,073",3,2,2,23324,3,2,2,2,3,2,Norfolk,1
"11,083",2,2,4,99999,3,1,,1,,1,Newport News,
"11,114",2,2,1,23669,1,5,,2,,1,Norfolk,
"11,132",1,2,2,23453,1,4,,2,,1,Newport News,
"11,135",2,2,3,23664,1,4,,1,,1,Norfolk,
"11,146",2,2,2,23601,2,2,,1,8,1,Norfolk,
"11,150",1,2,4,23669,2,1,,1,3,1,Newport News,
"11,160",2,2,2,23464,1,1,,1,11,1,Norfolk,
"11,184",2,1,2,23503,2,1,,3,9,1,Norfolk,
"11,194",2,2,3,23435,2,1,,1,7,1,Norfolk,
"11,240",2,2,3,23462,2,4,1,2,,1,Norfolk,2
"11,247",1,1,2,23504,1,5,1,2,,1,Norfolk,2
"11,248",2,2,1,23455,1,1,,1,10,1,Norfolk,
"11,256",2,2,1,23321,1,1,,2,8,1,Chesapeake,
"11,267",2,2,3,23608,2,4,,7,,1,Newport News,
"11,272",1,2,2,23455,1,5,,1,,1,Norfolk,
"11,278",1,2,2,23322,1,5,,1,,1,Newport News,
"11,282",1,2,3,23509,2,5,,2,,2,Norfolk,
"11,347",2,2,4,23707,2,1,,1,4,1,Norfolk,
"11,350",4,2,2,23451,1,1,,1,4,1,Norfolk,
"11,374",2,2,2,23703,2,1,1,2,11,1,Norfolk,2
"11,378",2,2,2,23606,1,1,2,2,5,1,Norfolk,2
"11,445",4,1,2,23661,4,2,,2,1,1,Norfolk,
"11,463",1,2,3,23601,1,1,,1,9,1,Newport News,
"11,479",2,2,2,23701,2,4,3,7,,1,Norfolk,2
"11,490",1,2,4,23707,3,5,,1,,1,Newport News,
"11,491",1,2,4,23320,1,1,,2,5,1,Newport News,
"11,511",2,2,1,23456,1,1,,1,11,1,Norfolk,
"11,529",2,2,2,23504,2,2,,2,6,1,Newport News,
"11,532",2,2,3,23518,3,2,,1,3,1,Norfolk,
"11,547",1,2,2,99999,2,3,,2,,1,Chesapeake,
"11,556",3,2,1,23452,1,1,1,1,11,1,Newport News,1
"11,559",2,2,3,23322,2,5,,1,,1,Newport News,
"11,582",1,2,3,23661,1,1,,1,,1,Newport News,
"11,598",2,1,3,23601,2,2,,1,3,1,Norfolk,
"11,626",2,2,1,23434,3,3,2,2,,1,Norfolk,2
"11,629",2,2,3,23456,2,1,3,1,11,1,Norfolk,2
"11,642",2,2,3,23322,2,1,,1,10,1,Newport News,
"11,647",3,2,4,23511,3,1,,1,5,1,Norfolk,
"11,651",2,2,2,23518,1,1,,1,11,1,Norfolk,
"11,660",2,2,3,23452,2,1,,2,8,1,Newport News,
"11,671",2,2,3,23701,3,2,,2,,1,Norfolk,
"11,705",1,2,3,23455,2,5,,7,,1,Norfolk,
"11,714",2,2,4,23606,3,1,,1,3,1,Norfolk,
"11,770",1,2,3,23663,2,3,,2,,2,Norfolk,
"11,781",2,2,1,23602,3,2,,1,,1,Newport News,
"11,802",2,2,2,23513,2,1,1,1,11,1,Norfolk,1
"11,819",1,2,2,23602,1,5,,1,,1,Newport News,
"11,822",2,2,1,23502,2,1,2,1,7,1,Norfolk,2
"11,829",1,2,3,23456,2,4,1,3,,1,Chesapeake,1
"11,843",1,2,3,23462,3,1,1,1,7,2,Newport News,1
"11,857",1,2,3,23503,2,1,,1,3,1,Norfolk,
"11,870",1,2,3,23669,1,4,,1,,1,Newport News,
"11,889",2,2,3,23502,1,1,,1,11,1,Newport News,
"11,899",2,2,1,23518,2,1,,1,10,1,Norfolk,
"11,962",2,2,1,23608,2,1,,2,6,1,Norfolk,
"11,975",3,2,1,23603,1,1,,1,11,1,Norfolk,
"11,991",1,2,2,23507,2,1,3,3,7,1,Newport News,2
